,P2.MRPS25,P1.MRPS25,S2.MRPS25,S1.MRPS25
210,0.4048707210614553,0.4543835683100344,0.35908066732103083,0.38132496933586224
211,0.4052289994922638,0.45472218771437595,0.35923726942955914,0.38141241742437915
212,0.40558628153603843,0.455057479584731,0.35939407242915844,0.38149888079094857
213,0.40594262036535067,0.45538950699737835,0.3595510562015436,0.38158434376073264
214,0.40629806995088963,0.4557183100298044,0.35970823315118317,0.3816688880791595
215,0.40665262237737243,0.45604402137488836,0.3598655426726349,0.38175248678323154
216,0.40700635367804977,0.45636675746696737,0.3600229973523128,0.3818351861843826
217,0.4073592908064393,0.4566865910203828,0.3601805668510961,0.38191699198525375
218,0.4077114271886625,0.4570035544014657,0.36033818841136445,0.38199789120601724
219,0.40806279314789956,0.4573177184465741,0.36049583156683324,0.3820778950509081
220,0.4084134178879903,0.4576291521509651,0.36065346396165526,0.3821570137828329
221,0.4087633294037846,0.4579379225382036,0.36081105134757946,0.3822352566967722
222,0.4091125543976517,0.4582440945365847,0.3609685575859213,0.3823126320974263
223,0.4094611182024029,0.4585477308628457,0.36112594465447445,0.38238914728122103
224,0.4098090447108556,0.4588488919134167,0.36128317265947824,0.38246480852278913
225,0.4101563563122428,0.45914763566343586,0.3614401998527411,0.38253962106601347
226,0.4105030682800913,0.45944401252323297,0.3615969725529958,0.3826135820490092
227,0.41084923723417693,0.459738114210988,0.3617534837510721,0.3826867063552645
228,0.41119484589877076,0.4600299540042758,0.36190965485791626,0.38275899045323375
229,0.4115399102998918,0.460319579504014,0.3620654370796268,0.3828304354487796
230,0.4118844447348574,0.4606070354921042,0.3622207799170504,0.3829010414374236
231,0.4122284617531661,0.4608923638811714,0.36237563121539657,0.38297080752375795
232,0.4125719342660756,0.46117558347092513,0.3625298968151538,0.38303969144157973
233,0.41291493594528755,0.46145678053339506,0.3626834939260496,0.38310772587243774
234,0.41325744158364464,0.46173595388406424,0.362836435057286,0.3831749085393695
