4170686.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4170686
4121361.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4121361
4160468.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4160468
4177987.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4177987
4139696.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4139696
4134005.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4134005
4159170.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4159170
4177601.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4177601
4105105.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4105105
4189200.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4189200
4158726.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4158726
4175837.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4175837
4188900.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4188900
4174905.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_meth_4174905
SRR834983.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_gcb_meth1_4160735
SRR834986.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_gcb_meth1_4118819
SRR834984.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_gcb_meth1_4122131
SRR834985.just_count_zscoreLog_ofs.tsv_log_of_quantile_normalized_RPKM	Methylation_gcb_meth1_4174884
