,P2.PLCL2,P1.PLCL2,S2.PLCL2,S1.PLCL2
3053,0.43486609259378656,0.5245274282066289,0.34008878828862055,0.4211700420021831
3054,0.4353297838426646,0.5245546434978556,0.3405375149497547,0.4212138219293676
3055,0.4357904277939697,0.524582559704583,0.3409822989164659,0.4212537457141326
3056,0.4362480153383473,0.5246111910776077,0.3414230351536694,0.4212898048801938
3057,0.4367025540132114,0.524640535124127,0.3418596112008119,0.42132198110865293
3058,0.4371540610730122,0.5246706226740666,0.3422919531477098,0.42135034208420763
3059,0.4376024987084034,0.524701517581029,0.3427199852749981,0.42137486596348633
3060,0.4380478574232347,0.5247331854798579,0.3431435894650415,0.4213955158376098
3061,0.4384901502167248,0.5247656536643556,0.3435627006760035,0.421412306012628
3062,0.4389293634879791,0.5247989294426024,0.34397722223064303,0.4214252392180612
3063,0.4393654985366739,0.524833030445637,0.344387079160249,0.4214343278959677
3064,0.43979855806540213,0.5248679747859465,0.3447922009055854,0.42143958722414177
3065,0.4402285461678662,0.5249037810595008,0.34519252133435235,0.42144103506855823
3066,0.44065546831508295,0.5249404683451117,0.3455879787516301,0.4214386919335381
3067,0.44107933133970595,0.5249780562011576,0.3459785159033862,0.42143258090976354
3068,0.44150015175964913,0.525016566912079,0.3463640751275606,0.4214227196467833
3069,0.44191790734857417,0.5250560406189301,0.34674461073186674,0.42140915732740997
3070,0.44233263491104285,0.5250964748979974,0.34712008058862115,0.42139190958003275
3071,0.44274434645672156,0.525137891280545,0.3474904450642123,0.4213710093055314
3072,0.44315305526733373,0.5251803117161133,0.3478556688817468,0.42134649169446914
3073,0.4435587758716694,0.5252237585552415,0.34821572108539595,0.4213183941651387
3074,0.44396152401956035,0.5252682545299983,0.34857057499883143,0.4212867563003958
3075,0.44436131665494494,0.5253138227324119,0.3489202081779556,0.4212516197834313
3076,0.44475817188814815,0.5253604865908917,0.34926460235814644,0.4212130283326232
3077,0.44515209359325025,0.525408253369067,0.3496037439518633,0.4211710152780416
3078,0.4455431247784646,0.5254572036238154,0.34993764742827127,0.42112561975073703
3079,0.44593127756605233,0.5255073168918273,0.35026627969267354,0.421076912420165
3080,0.44631657438584926,0.5255586177955563,0.35058963871491444,0.4210249442836703
3081,0.44669903867731897,0.525611131125534,0.3509077262972504,0.42096976804098485
3082,0.4470787089147348,0.5256648875114165,0.35122056599516227,0.4209114550321148
3083,0.44745558398135027,0.5257199455874402,0.3515281740238003,0.4208500787346822
3084,0.4478297049061946,0.5257762886371884,0.35183053798796754,0.4207856609137563
3085,0.44820109888724763,0.5258339420407079,0.35212767444160215,0.4207182607001635
3086,0.4485697939952413,0.5258929311573352,0.35241960333683,0.42064793858238003
3087,0.44893581914495523,0.5259532812884593,0.3527063479294035,0.4205747563410602
3088,0.4492992040671136,0.5260150176395136,0.35298793468185,0.42049877698424587
3089,0.44965997928097273,0.5260781652813249,0.3532643931646234,0.4204200646833668
3090,0.45001817606768846,0.5261427491109332,0.3535357559555469,0.42033868471013924
3091,0.4503738264445373,0.5262087938120065,0.35380205853783714,0.4202547033744623
3092,0.4507269631400677,0.5262763238149682,0.3540633391969903,0.42016818796340666
3093,0.4510776195702464,0.5263453632569529,0.35431963891681256,0.4200792066813821
3094,0.4514258298156565,0.5264159359417043,0.35457100127486557,0.41998782859156586
3095,0.45177162859980624,0.5264880652995302,0.3548174723375973,0.4198941235586658
3096,0.4521150512685853,0.5265617743474187,0.35505910055541656,0.4197981621930841
3097,0.45245613377091276,0.5266370856494295,0.35529593665796555,0.41970001579654287
3098,0.4527949126406028,0.526714021277457,0.35552803354983387,0.4195997563092228
3099,0.4531314249794734,0.5267926027724709,0.3557554462069476,0.4194974562584602
3100,0.4534657084417107,0.5268728511063274,0.35597823157386277,0.41939318870904024
3101,0.4537978012194967,0.5269547866442488,0.3561964484621731,0.4192870272151147
3102,0.4541277420299007,0.5270384291080574,0.35641015745024074,0.41917904577376774
3103,0.45445557010302445,0.5271237975402527,0.35661942078443803,0.4190693187802439
3104,0.45478132517138575,0.5272109102690106,0.35682430228208595,0.418957920984843
3105,0.4551050474605176,0.5272997848741877,0.3570248672362548,0.418844927451486
3106,0.4554267776807485,0.527390438154399,0.3572211823225844,0.41873041351793794
3107,0.4557465570201315,0.527482886095241,0.3574133155082683,0.4186144547576778
3108,0.45606442713846884,0.5275771438387266,0.35760133596333205,0.4184971269433896
3109,0.45638043016238655,0.5276732256539884,0.3577853139743232,0.4183785060120459
3110,0.4566946086813948,0.5277711449093117,0.35796532086051924,0.418258668031549
3111,0.457007005744872,0.5278709140455415,0.35814142889274275,0.41813768916888444
3112,0.4573176648598968,0.5279725445509204,0.35831371121486333,0.4180156456597411
3113,0.4576266037410769,0.5280760046082223,0.35848226130521194,0.4178926164691682
3114,0.4579338608878089,0.5281813468751524,0.35864710284527856,0.4177686726367274
3115,0.4582395723669268,0.5282885811954365,0.3588083853609309,0.4176439503843641
3116,0.4585436986940076,0.5283977561141998,0.35896615094860124,0.417518424509598
3117,0.4588462861398222,0.5285088022202649,0.35912048345733333,0.4173922447503915
3118,0.45914739923260073,0.5286217434939255,0.35927143546901885,0.4172654581499271
3119,0.4594470839872292,0.5287365835883682,0.3594190575217333,0.4171381320585782
3120,0.45974540303936046,0.5288533452020655,0.35956346011803886,0.4170103498671303
3121,0.46004240363760013,0.528972030034965,0.35970472127496567,0.41688218748344114
3122,0.4603381335335784,0.5290926386939604,0.3598429192434861,0.4167537206430519
3123,0.4606326260144068,0.5292151793429059,0.3599781214537752,0.4166250127810907
3124,0.46092596841219363,0.5293396103595611,0.3601104353771746,0.41649617732495
3125,0.46121818310865975,0.529465963640115,0.3602399193711022,0.41636726023326565
3126,0.4615093198954402,0.5295942352224572,0.36036665220885905,0.4162383364456847
3127,0.46179942904355203,0.5297244200389555,0.3604907126757205,0.41610948062712966
3128,0.4620885840815298,0.5298565176104043,0.3606121795344278,0.41598076715158516
3129,0.46237677387372045,0.5299904850448226,0.36073114930097544,0.41585229565156057
3130,0.4626640949335241,0.5301263467356373,0.3608476814108743,0.4157241123248547
3131,0.4629505993338552,0.53026409306395,0.3609618544739687,0.4155962907191802
3132,0.46323633962975586,0.5304037133295892,0.36107374695316113,0.41546890401537967
3133,0.4635213688496853,0.5305451835124149,0.3611834371400004,0.4153419965345103
