#	Sequence_name	block_0_18_60986372_60987028_patient_8::18:60986346-60987052
change	rank	file_name	score_pca	mean_ddba
Positive	1	OTX_1_from_OTX_transfac_M01117.mlp	0.4163124678122545	0.10003725289000003
Positive	2	STAT_known8_from_STAT5A_3_from_STAT5A_transfac_M00493.mlp	0.321465431181699	0.06582551329333337
Positive	3	STAT_known11_from_STAT3_2_from_STAT3_transfac_M00497.mlp	0.31719515894167605	0.06420402866833338
Positive	4	SPI1_known2_from_SPI1_2_from_SPI1_jaspar_MA0080.2.mlp	0.22917831488940088	0.05372838782833333
Positive	5	STAT_known9_from_STAT6_1_from_STAT6_transfac_M00494.mlp	0.22664686317775173	0.04443840434333335
Positive	6	ETS_known8_from_ETS1_3_from_ETS1_jaspar_MA0098.1.mlp	0.22241435946484797	0.04286201939666671
Positive	7	HMGA1_1_from_HMG-IY_transfac_M00750.mlp	0.18674695029274038	0.038050939049999954
Positive	8	STAT_known12_from_STAT4_1_from_STAT4_transfac_M00498.mlp	0.18608980789047347	0.03570004927333333
Positive	9	STAT_known10_from_STAT1_3_from_STAT1_transfac_M00496.mlp	0.16123289759697093	0.03035911911666667
Positive	10	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	0.12655817621275992	0.02334702008000002
Negative	1	PAX2_2_from_Pax-2_transfac_M00486.mlp	-0.6228795885607659	-0.1499427401783333
Negative	2	SRY_1_from_SRY_transfac_M00148.mlp	-0.5939321807360637	-0.14260682613333336
Negative	3	POU3F3_1_from_Pou3f3_bulyk_cell08-3235.2.mlp	-0.08177640926497177	-0.11500568789999999
Negative	4	CDC5L_1_from_Cdc5_transfac_M00478.mlp	-0.06956985954919566	-0.06640140026666667
Negative	5	TEAD2_1_from_ETF_transfac_M00695.mlp	-0.0558727039207614	-0.010537137383333344
Negative	6	FOXJ1_1_from_HFH4-(FOXJ1)_transfac_M00742.mlp	-0.024158335106595707	-0.027328522661666663
Negative	7	ARID3A_2_from_Arid3a_bulyk_sc09-primary.mlp	-0.01598378422582555	-0.013621821515000005
Negative	8	ARID3A_1_from_ARID3A_jaspar_MA0151.1.mlp	-0.014954800772136264	-0.0025857159750000114
Negative	9	HBP1_1_from_Hbp1_bulyk_sc09-primary.mlp	-0.01455863346401566	-0.014088075205000003
Negative	10	POU1F1_4_from_POU1F1_jolma_DBD_M205.mlp	-0.01250741065984276	-0.013146598496666669
