#	Sequence_name	block_0_18_60986372_60987028_patient_4::18:60986346-60987052
change	rank	file_name	score_pca	mean_ddba
Positive	1	SP100_1_from_Sp100_bulyk_sc09-primary.mlp	0.7510794924580331	0.2666568412833333
Positive	2	ZEB1_known1_from_ZEB1_1_from_AREB6_transfac_M00412.mlp	0.6443395837327515	0.21042952333333334
Positive	3	STAT_known12_from_STAT4_1_from_STAT4_transfac_M00498.mlp	0.3233022355157646	0.15277930024000003
Positive	4	ZNF384_1_from_CIZ_transfac_M00734.mlp	0.20645132410774772	0.06711603671666667
Positive	5	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	0.18003976453935625	0.07522677663333331
Positive	6	NKX2-1_1_from_TTF1-(Nkx2-1)_transfac_M00432.mlp	0.14880262472702596	0.03576650457333334
Positive	7	MZF1_4_from_MZF1:5-13_jaspar_MA0057.1.mlp	0.11804697837135379	0.03338186075666667
Positive	8	CDX_1_from_Cdx_transfac_M00991.mlp	0.1099279252562825	0.023611741951666668
Positive	9	STAT_known8_from_STAT5A_3_from_STAT5A_transfac_M00493.mlp	0.09714404051726248	0.03691991935333336
Positive	10	TFCP2_5_from_TFCP2_jolma_full_M63.mlp	0.08926499658079055	0.018754724795
Negative	1	NR3C1_known13_from_AR_6_from_Ar_jaspar_MA0007.1.mlp	-0.3778378291057092	-0.09670210236666667
Negative	2	NR3C1_known4_from_AR_2_from_AR_transfac_M00481.mlp	-0.32511715506934	-0.07997594933333332
Negative	3	IRX2_1_from_Irx2_bulyk_cell08-0900.3.mlp	-0.3013006622747786	-0.07317759603333333
Negative	4	NR2F2_1_from_ARP-1-(COUP-TF2)_transfac_M00155.mlp	-0.28208415797756486	-0.072436105125
Negative	5	IRX3_2_from_Irx3_bulyk_cell08-2226.1.mlp	-0.2676789491799692	-0.06350023851666667
Negative	6	IRX3_1_from_Irx3_bulyk_cell08-0920.1.mlp	-0.2382724598627953	-0.05554762146666665
Negative	7	GLI2_1_from_GLI2_jolma_DBD_M10.mlp	-0.22291381754595793	-0.05236127500000001
Negative	8	IRX6_1_from_Irx6_bulyk_cell08-2623.2.mlp	-0.2168808722557281	-0.049745964950000006
Negative	9	NR3C1_known17_from_AR_9_from_Ar_jolma_DBD_M657.mlp	-0.21497700411470416	-0.04905279006666666
Negative	10	IRX5_1_from_Irx5_bulyk_cell08-2385.1.mlp	-0.1766203207682198	-0.03971957818333333
